timestamp,stage,dataset,method,run_idx,seed,eval_seed,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,params_json,metric,baseline_method,target_method,test_name,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,p_value,p_value_holm,p_value_paired_ttest,effect_size,effect_size_name,cohen_dz,rank_biserial,significant,notes
2026-05-22 01:09:40,run,CiteSeer,ifl-gc,2,38110,38110,,0.716300,0.004200,0.644700,0.008900,0.714200,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38110, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38110, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:10:08,run,CiteSeer,ifl-gc,3,38111,38111,,0.718100,0.005900,0.656900,0.012400,0.715150,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38111, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38111, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:10:37,run,CiteSeer,ifl-gc,4,38112,38112,,0.694400,0.003400,0.649300,0.013100,0.692700,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38112, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38112, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:11:05,run,CiteSeer,ifl-gc,5,38113,38113,,0.704700,0.004200,0.658900,0.002000,0.702600,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38113, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38113, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:11:33,run,CiteSeer,ifl-gc,6,38114,38114,,0.702100,0.007200,0.651200,0.003100,0.698500,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38114, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38114, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:12:02,run,CiteSeer,ifl-gc,7,38115,38115,,0.712000,0.001000,0.665500,0.005900,0.711500,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38115, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38115, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:12:30,run,CiteSeer,ifl-gc,8,38116,38116,,0.709000,0.011800,0.664100,0.013400,0.703100,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38116, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38116, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:12:59,run,CiteSeer,ifl-gc,9,38117,38117,,0.709600,0.009400,0.657800,0.005000,0.704900,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38117, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38117, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:13:27,run,CiteSeer,ifl-gc,10,38118,38118,,0.719800,0.002600,0.651400,0.014000,0.718500,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38118, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38118, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
2026-05-22 01:13:27,summary,CiteSeer,grace,,,,10,0.714960,0.007657,0.648090,0.014611,0.712200,0.008113,"{""drop_edge_rate_1"": 0.6, ""drop_edge_rate_2"": 0.5, ""drop_feature_rate_1"": 0.5, ""drop_feature_rate_2"": 0.6, ""tau"": 0.9}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=0; base_robust=0.704833
